idInvoice,idEvent,aditionalData,amount,amountPaidAferMatchMatch,amountPaidBeforeMatch,amountToPaidAfterMatch,amountToPaidBeforeMatch,amountToPay,eventDate,eventType,hasMatchAfterMatch,hasMatchBeforeMatch,idTransaction,matchMethod,needReviewAfterMatch,needReviewBeforeMatch,paymentethod,result,stateAfterMatch,stateBeforeMatch
00BFF93F595148CF8B4BD7647C968E36,317e7a49-27c4-4064-ad92-bd77d977ddd7,{},174,174,0,0,174,174,1.69328E+12,LINK#GRAPH#PAYMENT,true,false,de2c3cada1700174df7108cf692f759f,GRAPH,false,false,PUE,SUCCESS,PAGADA,PENDIENTE
00BFF93F595148CF8B4BD7647C968E36,534810de-d9f2-4295-a810-0c82e335c52a,{},174,174,174,0,0,174,1.69328E+12,CONFIRM#PAYMENT,true,true,de2c3cada1700174df7108cf692f759f,MANUAL,false,false,PUE,SUCCESS,PAGADA,PAGADA
00BFF93F595148CF8B4BD7647C968E36,6b2540a7-286e-40f2-8665-2c6db93e7603,{},174,174,174,0,0,174,1.69335E+12,LINK#GRAPH#PAYMENT,true,true,de2c3cada1700174df7108cf692f759f,GRAPH,false,false,PUE,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
00BFF93F595148CF8B4BD7647C968E36,d3f95848-4c41-4059-9e40-e380a00334ee,{},174,174,174,0,0,174,1.69406E+12,LINK#GRAPH#PAYMENT,true,true,de2c3cada1700174df7108cf692f759f,GRAPH,false,false,PUE,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
00BFF93F595148CF8B4BD7647C968E36,da053441-2c8f-46a1-b454-da8cc1bd19a8,{},174,174,174,0,0,174,1.69328E+12,LINK#GRAPH#PAYMENT,true,true,de2c3cada1700174df7108cf692f759f,GRAPH,false,false,PUE,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
00BFF93F595148CF8B4BD7647C968E36,f0a44995-95b9-48e7-b734-b5948b9f2c63,{},174,174,174,0,0,174,1.69328E+12,LINK#GRAPH#PAYMENT,true,true,de2c3cada1700174df7108cf692f759f,GRAPH,false,false,PUE,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
00BFF93F595148CF8B4BD7647C968E36,fd3bd087-0298-4d60-9a09-d699567ee095,{},174,174,174,0,0,174,1.69345E+12,LINK#GRAPH#PAYMENT,true,true,de2c3cada1700174df7108cf692f759f,GRAPH,false,false,PUE,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
00BFF93F595148CF8B4BD7647C968E36,fd5740ca-5351-4686-aa6f-1f038b796e9f,{},174,174,174,0,0,174,1.69334E+12,LINK#GRAPH#PAYMENT,true,true,de2c3cada1700174df7108cf692f759f,GRAPH,false,false,PUE,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
06E3E7D585DB46A28B88A730623CAE49,1f21c124-e51c-42f0-baac-34e5a165480c,{},375991.82,375991.82,375991.82,0,0,375991.82,1.69419E+12,LINK#GRAPH#PAYMENT,true,true,f05b3cef0101c19eab0e76f0527ba497,GRAPH,false,false,PPD,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
06E3E7D585DB46A28B88A730623CAE49,2c71d2a3-57f7-4b73-9853-e3596285539e,{},375991.82,375991.82,375991.82,0,0,375991.82,1.69345E+12,LINK#GRAPH#PAYMENT,true,true,f05b3cef0101c19eab0e76f0527ba497,GRAPH,false,false,PPD,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
06E3E7D585DB46A28B88A730623CAE49,31f948de-c94b-495e-9566-0cbe6780cac6,{},375991.82,375991.82,375991.82,0,0,375991.82,1.69328E+12,LINK#GRAPH#PAYMENT,true,true,f05b3cef0101c19eab0e76f0527ba497,GRAPH,false,false,PPD,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
06E3E7D585DB46A28B88A730623CAE49,5d1a1920-7be0-41c5-a8a8-eb02497572ca,{},375991.82,375991.82,375991.82,0,0,375991.82,1.69334E+12,LINK#GRAPH#PAYMENT,true,true,f05b3cef0101c19eab0e76f0527ba497,GRAPH,false,false,PPD,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
06E3E7D585DB46A28B88A730623CAE49,64c669d1-81a4-4de5-9940-3c7ef3916753,{},375991.82,375991.82,0,0,375991.82,375991.82,1.69328E+12,LINK#GRAPH#PAYMENT,true,false,f05b3cef0101c19eab0e76f0527ba497,GRAPH,false,false,PPD,SUCCESS,PAGADA,PENDIENTE
06E3E7D585DB46A28B88A730623CAE49,6641ade0-4aa0-4304-b519-110728406348,{},375991.82,375991.82,375991.82,0,0,375991.82,1.69462E+12,LINK#GRAPH#PAYMENT,true,true,f05b3cef0101c19eab0e76f0527ba497,GRAPH,false,false,PPD,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
06E3E7D585DB46A28B88A730623CAE49,8479e38e-3876-44fc-ba6f-164c5a5ab6ee,{},375991.82,375991.82,375991.82,0,0,375991.82,1.69335E+12,LINK#GRAPH#PAYMENT,true,true,f05b3cef0101c19eab0e76f0527ba497,GRAPH,false,false,PPD,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
