idInvoice,idEvent,aditionalData,amount,amountPaidAferMatchMatch,amountPaidBeforeMatch,amountToPaidAfterMatch,amountToPaidBeforeMatch,amountToPay,eventDate,eventType,hasMatchAfterMatch,hasMatchBeforeMatch,idBusinessGroup,idTransaction,matchMethod,needReviewAfterMatch,needReviewBeforeMatch,paymentethod,resource,result,stateAfterMatch,stateBeforeMatch
5EC13E3784C55AC7B2A4E23E6D4F2599,e59a8433-96dc-4a1b-9266-693e759c4c90,{},1506.84,0,0,1506.84,1506.84,1506.84,1.69345E+12,UNLINK#GRAPH#PAYMENT,false,false,81d42319-92be-4848-8512-e1a2900d1490-1662407423000,945b4382ca6f14dab8e6bd0e43e491c9,GRAPH,false,false,PUE,LAMBDA#SCM-SAT-CRUD-INVOICES,ERROR# NO SE PUEDE DESCONTAR SALDO A UNA FACTURA CON MONTO PAGADO EN CERO,PENDIENTE,PENDIENTE
8AC7B713098B44928830890B8D3AB483,169cfdbd-b00f-4a07-99b8-dbd428b2bd81,{},100143.12,100143.12,100143.12,0,0,100143.12,1.69334E+12,LINK#GRAPH#PAYMENT,true,true,81d42319-92be-4848-8512-e1a2900d1490-1662407423000,bcc4c49017862d18bb0c1fbb3229d074,GRAPH,false,false,PUE,LAMBDA#SCM-SAT-CRUD-INVOICES,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
8AC7B713098B44928830890B8D3AB483,3420a779-462d-45f1-9aaf-83faaa27ee2b,{},100143.12,100143.12,100143.12,0,0,100143.12,1.69406E+12,LINK#GRAPH#PAYMENT,true,true,81d42319-92be-4848-8512-e1a2900d1490-1662407423000,bcc4c49017862d18bb0c1fbb3229d074,GRAPH,false,false,PUE,LAMBDA#SCM-SAT-CRUD-INVOICES,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
8AC7B713098B44928830890B8D3AB483,7f5f0b78-2bf6-4077-9797-a36112b043b5,{},100143.12,100143.12,100143.12,0,0,100143.12,1.69716E+12,LINK#GRAPH#PAYMENT,true,true,81d42319-92be-4848-8512-e1a2900d1490-1662407423000,bcc4c49017862d18bb0c1fbb3229d074,GRAPH,false,false,PUE,LAMBDA#SCM-SAT-CRUD-INVOICES,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
8AC7B713098B44928830890B8D3AB483,c8a4ea7f-d006-4706-aef5-a1c8bbacb2fe,{},100143.12,100143.12,100143.12,0,0,100143.12,1.69345E+12,LINK#GRAPH#PAYMENT,true,true,81d42319-92be-4848-8512-e1a2900d1490-1662407423000,bcc4c49017862d18bb0c1fbb3229d074,GRAPH,false,false,PUE,LAMBDA#SCM-SAT-CRUD-INVOICES,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
8AC7B713098B44928830890B8D3AB483,cc8a422b-2377-4cb8-b9d6-66a76f3bbd1c,{},100143.12,100143.12,100143.12,0,0,100143.12,1.69335E+12,LINK#GRAPH#PAYMENT,true,true,81d42319-92be-4848-8512-e1a2900d1490-1662407423000,bcc4c49017862d18bb0c1fbb3229d074,GRAPH,false,false,PUE,LAMBDA#SCM-SAT-CRUD-INVOICES,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
8AC7B713098B44928830890B8D3AB483,fd388a80-a1cf-4983-bc66-8099a6e1144b,{},100143.12,100143.12,0,0,100143.12,100143.12,1.69334E+12,LINK#GRAPH#PAYMENT,true,false,81d42319-92be-4848-8512-e1a2900d1490-1662407423000,bcc4c49017862d18bb0c1fbb3229d074,GRAPH,false,false,PUE,LAMBDA#SCM-SAT-CRUD-INVOICES,SUCCESS,PAGADA,PENDIENTE
00BFF93F595148CF8B4BD7647C968E36,07ec39b3-8df8-4f63-ba69-53620f67d588,{},174,174,174,0,0,174,1.69334E+12,LINK#GRAPH#PAYMENT,true,true,81d42319-92be-4848-8512-e1a2900d1490-1662407423000,de2c3cada1700174df7108cf692f759f,GRAPH,false,false,PUE,LAMBDA#SCM-SAT-CRUD-INVOICES,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
00BFF93F595148CF8B4BD7647C968E36,0cf06697-c761-45de-9015-7ab809aded51,{},174,174,174,0,0,174,1.69328E+12,LINK#GRAPH#PAYMENT,true,true,81d42319-92be-4848-8512-e1a2900d1490-1662407423000,de2c3cada1700174df7108cf692f759f,GRAPH,false,false,PUE,LAMBDA#SCM-SAT-CRUD-INVOICES,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
00BFF93F595148CF8B4BD7647C968E36,317e7a49-27c4-4064-ad92-bd77d977ddd7,{},174,174,0,0,174,174,1.69328E+12,LINK#GRAPH#PAYMENT,true,false,81d42319-92be-4848-8512-e1a2900d1490-1662407423000,de2c3cada1700174df7108cf692f759f,GRAPH,false,false,PUE,LAMBDA#SCM-SAT-CRUD-INVOICES,SUCCESS,PAGADA,PENDIENTE
00BFF93F595148CF8B4BD7647C968E36,3d3e803f-3ca3-4c09-8ae0-4669d07c0bad,{},174,174,174,0,0,174,1.69716E+12,LINK#GRAPH#PAYMENT,true,true,81d42319-92be-4848-8512-e1a2900d1490-1662407423000,de2c3cada1700174df7108cf692f759f,GRAPH,false,false,PUE,LAMBDA#SCM-SAT-CRUD-INVOICES,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
00BFF93F595148CF8B4BD7647C968E36,534810de-d9f2-4295-a810-0c82e335c52a,{},174,174,174,0,0,174,1.69328E+12,CONFIRM#PAYMENT,true,true,81d42319-92be-4848-8512-e1a2900d1490-1662407423000,de2c3cada1700174df7108cf692f759f,MANUAL,false,false,PUE,LAMBDA#SCM-SAT-CRUD-INVOICES,SUCCESS,PAGADA,PAGADA
